# 新着プール 87件（id | 公演名 | 会場 | 県 | 公演日 | ぴあURL）
4987 | TVアニメ『魔法騎士レイアース』ジャパンプレミア | TOHOシネマズ六本木ヒルズ | 東京 | 2026-10-03 | https://t.pia.jp/pia/event/event.do?eventCd=2630999
4988 | TVアニメ『弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった』先行上映会 | イオンシネマ板橋 | 東京 | 2026-09-05 | https://t.pia.jp/pia/event/event.do?eventCd=2632232
4989 | 『時には懺悔を』公開初日舞台挨拶 | TOHOシネマズ日比谷 | 東京 | 2026-08-28 | https://t.pia.jp/pia/event/event.do?eventCd=2632391
4990 | プロジェクトセカイ 6th Anniversary 感謝祭 ライブビューイング | 全国ツアー（札幌シネマフロンティア／フォーラム盛岡／MOVIX仙台／TOHOシネマズ秋田／フォーラム山形／MOVIXつくば／TOHOシネマズ宇都宮／MOVIX伊勢崎／MOVIXさいたま／TOHOシネマズ流山おおたかの森／ユナイテッド・シネマ幕張／イオンシネマ板橋／新宿ピカデリー／TOHOシネマズ上野／TOHOシネマズ府中／ユナイテッド・シネマ豊洲／イオンシネマみなとみらい／チネチッタ／TOHOシネマズ海老名／ユナイテッド・シネマ新潟／福井コロナシネマワールド／松本シネマライツ／イオンシネマ各務原／MOVIX清水／安城コロナシネマワールド／ミッドランドスクエアシネマ／109シネマズ四日市／イオンシネマ近江八幡／MOVIX京都／大阪ステーションシティシネマ／なんばパークスシネマ／kino cinema 神戸国際／MOVIXあまがさき／TOHOシネマズ橿原／イオンシネマ和歌山／イオンシネマ岡山／MOVIX広島駅／MOVIX周南／イオンシネマ高松東／イオンシネマ戸畑／イオンシネマ福岡／109シネマズ佐賀／熊本ピカデリー／セントラルシネマ宮崎／MOVIX川口／池袋HUMAXシネマズ／ユナイテッド・シネマ アクアシティお台場／TOHOシネマズ上大岡／MOVIX橋本／金沢コロナシネマワールド／MOVIX三好／TOHOシネマズ二条／MOVIX日吉津／シネマサンシャイン北島／坊っちゃん劇場／TOHOシネマズ アミュプラザおおいた／ミハマ7プレックス） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670246
4991 | 『見えない娘 THE INVISIBLES』公開記念舞台挨拶 | TOHOシネマズ日比谷 | 東京 | 2026-08-30 | https://t.pia.jp/pia/event/event.do?eventCd=2632702
4992 | 「メイドインアビス 烈日の黄金郷」上映記念舞台挨拶 | T・ジョイ京都 | 京都 | 2026-09-19 | https://t.pia.jp/pia/event/event.do?eventCd=2631285
4998 | 全国花火師競技大会「第5回にし阿波の花火」 | 徳島県西部健康防災公園（三好市三野健康防災公園／美馬市美馬リバーサイドパーク） | 徳島 | 2026-11-14 | https://t.pia.jp/pia/event/event.do?eventCd=2630987
4999 | 寺尾聰 | 新横浜プリンスホテル シンフォニア | 神奈川 | 2026-12-21 | https://t.pia.jp/pia/event/event.do?eventCd=2631388
5000 | 仲里依紗 トークショー | フジタホール2000 | 愛知 | 2026-10-24 | https://t.pia.jp/pia/event/event.do?eventCd=2632087
5001 | ハルメク講座 上野千鶴子さん講演会「老いるのに遠慮はいらないわよ!」 | 九段会館テラス バンケットホール「鳳凰」 | 東京 | 2026-10-21 | https://t.pia.jp/pia/event/event.do?eventCd=2632959
5002 | ぶらり塩竈 秋の酒蔵めぐり2026 | 塩竈市内 | 宮城 | 2026-09-26 | https://t.pia.jp/pia/event/event.do?eventCd=2631989
5003 | プリンセス天功と楽しい仲間たち | 全国ツアー（掛川市生涯学習センター／尾鷲市民文化会館（せぎやまホール）） | 静岡・三重 | 2026-11-03 | https://t.pia.jp/pia/event/event.do?eventCd=2632108
5005 | 2026【宵祭】岸和田だんじり祭商店街観覧ベース | 有限会社野花ヘルスプロモート | 大阪 | 2026-09-19 | https://t.pia.jp/pia/event/event.do?eventCd=2618456
5006 | 松本山雅FC対SC相模原 明治安田J3リーグ | サンプロ アルウィン | 長野 | 2026-09-13 | https://t.pia.jp/pia/event/event.do?eventCd=2626700
5007 | 寛永行幸四百年祭開催記念 特別展「寛永 太平がはぐくむ美」 | 京都文化博物館 4F・3F展示室 | 京都 | 2026-11-15 | https://t.pia.jp/pia/event/event.do?eventCd=2620143
5008 | ゴッホの跳ね橋と印象派の画家たち ヴァルラフ=リヒャルツ美術館所蔵 | 全国ツアー（あべのハルカス美術館／名古屋市美術館） | 大阪・愛知 | 2026-11-29 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2666793
5009 | TVアニメ『薬屋のひとりごと』第3期 舞台挨拶付き先行上映会 | TOHOシネマズ六本木ヒルズ | 東京 | 2026-09-27 | https://t.pia.jp/pia/event/event.do?eventCd=2633045
5010 | 令和八年度 将棋公開模範対局 | ツインメッセ静岡 北館4階 レセプションホール | 静岡 | 2026-10-18 | https://t.pia.jp/pia/event/event.do?eventCd=2631201
5011 | 花江夏樹 | 神戸薬科大学 ききょう記念ホール（E棟5F） | 兵庫 | 2026-10-11 | https://t.pia.jp/pia/event/event.do?eventCd=2631078
5012 | ミステリー・オブ・ツタンカーメン～体感型古代エジプト展～〈9月常設展〉 | ツタンカーメン・ミュージアム（横浜PLOT48） | 神奈川 | 2026-09-30 | https://t.pia.jp/pia/event/event.do?eventCd=2632902
5014 | RAY YUZUKA AUTUMN EVENT 2026 “Salon de RAY” | 全国ツアー（銀座ブロッサム（中央会館）／東京建物 Brillia HALL 箕面 大ホール） | 東京・大阪 | 2026-09-19 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670376
5015 | SMILE SOL. presents GRABS祭り! | 生活支援型文化施設コンカリーニョ | 北海道 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventCd=2632188
5016 | TJHiroshimaチケット企画 | 全国ツアー（久井カントリークラブ／呉カントリークラブ／広島西カントリー倶楽部／鷹の巣ゴルフクラブ） | 広島 | 2027-04-24 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2452563
5017 | テゲバジャーロ宮崎対藤枝MYFC 2026／27明治安田J2リーグ | いちご宮崎新富サッカー場 | 宮崎 | 2026-09-12 | https://t.pia.jp/pia/event/event.do?eventCd=2632477
5018 | ONEW | 東京体育館 | 東京 | 2026-09-23 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670627
5019 | 田中れいな | 新宿ReNY | 東京 | 2026-09-13 | https://t.pia.jp/pia/event/event.do?eventCd=2629528
