OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=4243 | グランドフィル・シンフォニックセッション ～Special Night in SUMMER 2026～ | グランドフィル・シンフォニックセッション ～Special Night in SUMMER 2026～ | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=4470 | ANIME JAPAN FES 2026“夏の陣” | ANIME JAPAN FES 2026“夏の陣” | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=4473 | 網走音楽祭 寺井尚子 With ジャズ | 網走音楽祭 寺井尚子 With ジャズ | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=4485 | 荒川夏蓮初ソロLive | 荒川夏蓮初ソロLive | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=4818 | 原田知世 | 原田知世 | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)

削除id: 68,275,292,407,427,460,536,600,826,999,1009,1021,1026,1041,1043,1105,1197,1487,1626,1796,1907,2019,2036,2049,2385,2534,2550,2672,2737,2846,2931,3078,3103,3296,3313,3391,3650,3790,3797,4013,4072,4130,4132,4243,4470,4473,4485,4818

========== B. 要相談（公演終了だが除外条件/日付矛盾）: 2 件 ==========
id=1006 | 神戸新開地・喜楽館 8月【朝席・夜席】 | 神戸新開地・喜楽館 8月【朝席・夜席】 | date=2026-08-23 | 締切=2026-08-01,2026-08-06,2026-08-07,2026-08-08,2026-08-15,2026-08-18,2026-08-21,2026-08-22,2026-08-29 | 枠10(売切0) | pia | 公演終了(2026-08-23)なのに 締切が今日以降の枠あり ＝データ矛盾
