=== 発売前スイープ 新規候補 95件 (today=2026-08-02 / 発売まで4日以上を先頭) ===
 58 | 音楽 | 発売不明(-) | ２０２６ Ｒｉｓｉｎｇ Ｃｏｎｎｅｃｔｉｏｎ ｉｎ Ｊａｐａｎ ｆｅａｔ． ｄｕｏ ＭＵＳＩＣ ＥＸＣＨＡＮＧＥ | 2026/9/25(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630159
 59 | 演劇 | 発売不明(-) | アインシュタイン１５周年ツアー | 2026/8/29(土) ～ 2026/11/7(土) | 東京都／石川県／愛媛県／熊本県／沖縄県 | https://ticket.pia.jp/pia/event.do?eventCd=2617375
 60 | 演劇 | 発売不明(-) | 京都文博 噺の会 Ｖｏｌ．３４ 笑福亭たま 独演会 | 2026/12/12(土) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2613031
 61 | 演劇 | 発売不明(-) | 宝塚歌劇月組 兵庫県立芸術文化センター公演 ミュージカル『稲妻開花譚-イナズマカイカタン-』 | 2026/9/13(日) ～ 2026/9/22(火・祝) | 兵庫県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668024
 62 | 演劇 | 発売不明(-) | 朗読劇『文豪LETTERS』 8月公演 | 2026/8/11(火・祝) ・ 2026/8/12(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670169
 63 | 演劇 | 発売不明(-) | 笑ってノト！ 2026 SUMMER | 2026/9/12(土) | 石川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669944
 64 | 映画 | 発売不明(-) | 星空の映画祭2026 | 2026/8/2(日) ～ 2026/8/16(日) |  | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669437
 65 | イベント | 発売不明(-) | 仮面ライダーゼッツ ファイナルステージ | 2026/9/26(土) ～ 2026/10/25(日) | 東京都／新潟県／愛知県／大阪府／福岡県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669444
 66 | イベント | 発売不明(-) | ＧＴＯ １年Ｂ組大集合！みんなで作る真夏の学園祭～Ｇｒｅａｔ Ｔｉｍｅ ｉｎ Ｏｄａｉｂａ～ | 2026/8/18(火) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630576
 67 | クラシック | 発売不明(-) | Ｅｌ Ｃｉｅｌｏ ２０２０情熱的挑発 | 2026/12/30(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2625306
 68 | クラシック | 発売不明(-) | 小田島史 トランペット・リサイタル | 2026/10/23(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629239
 69 | クラシック | 発売不明(-) | ブルボン Ｐｒｅｓｅｎｔｓ ギンザめざましクラシックスＶｏｌ．１０７ | 2026/9/25(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628946
 70 | スポーツ | 発売2026/8/5(あと3日) | ＡＰＦ ＡＬＰＳ ＣＨＡＭＰＩＯＮＳＨＩＰＳ ２０２６ | 2026/9/5(土) | 長野県 | https://ticket.pia.jp/pia/event.do?eventCd=2630683
 71 | スポーツ | 発売2026/8/5(あと3日) | ＮＪＫＦ ＣＨＡＬＬＥＮＧＥＲ １４ | 2026/9/6(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630396
 72 | 映画 | 発売2026/8/5(あと3日) | 『あの星が降る丘で、君とまた出会いたい。』公開記念舞台挨拶 | 2026/8/9(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670069
 73 | イベント | 発売2026/8/5(あと3日) | 島田秀平×三上丈晴 ｗｉｔｈ 角由紀子 オカルトトークｉｎ岸和田 | 2026/10/3(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2627319
 74 | クラシック | 発売2026/8/5(あと3日) | アンネ＝ゾフィー・ムター(ヴァイオリン) Plays J.ウィリアムズ 50th on Stage With オーケストラ | 2027/1/11(月・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670140
 75 | クラシック | 発売2026/8/5(あと3日) | ピョートル・アレクセーヴィチ ピアノリサイタル | 2026/12/3(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670150
 76 | 音楽 | 発売2026/8/4(あと2日) | Ｔｒｉｂｕｔｅ ｆｏｒ ＯＳＣＡＲ ＰＥＡＴＥＲＳＯＮ “Ｗｅ Ｇｅｔ Ｒｅｑｕｅｓｔｓ ｒｅｖｉｓｉｔｅｄ”ｐｒｅｓｅｎｔｅｄ ｂｙ 海野雅威 | 2026/10/16(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628841
 77 | 演劇 | 発売2026/8/4(あと2日) | 生寿の真っ向勝負 ～桂佐ん吉×笑福亭生寿 二人会～ | 2026/11/10(火) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2629360
 78 | 演劇 | 発売2026/8/4(あと2日) | 蓮見水族館ライブvol.4 割れろ！ビンネタライブ | 2026/8/18(火) ～ 2026/9/1(火) | ＰＩＡ ＬＩＶＥ ＳＴＲＥＡＭ | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670075
 79 | 映画 | 発売2026/8/4(あと2日) | 「あの日見た花の名前を僕達はまだ知らない。」15周年記念スペシャル上映会＆舞台挨拶 | 2026/9/19(土) | 埼玉県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669260
 80 | クラシック | 発売2026/8/4(あと2日) | 神奈川フィルハーモニー管弦楽団 For Future 巡回公演シリーズ ベートーヴェン「第九」 | 2026/12/19(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670155
 81 | クラシック | 発売2026/8/4(あと2日) | さわかみオペラｉｎ東京「ラ・ボエーム」を１００倍楽しむために | 2026/10/22(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629512
 82 | 音楽 | 発売2026/8/3(あと1日) | 小曽根真（ｐ） | 2026/10/8(木) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623831
 83 | 音楽 | 発売2026/8/3(あと1日) | Ovall | 2026/10/29(木) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668439
 84 | 音楽 | 発売2026/8/3(あと1日) | チェ・ユリ | 2026/8/30(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630277
 85 | 演劇 | 発売2026/8/3(あと1日) | 浮世亭三吾追悼公演 | 2026/10/11(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2629140
 86 | スポーツ | 発売2026/8/3(あと1日) | 第74回 全日本実業団対抗陸上競技選手権大会 | 2026/9/11(金) ・ 2026/9/12(土) ・ 2026/9/13(日) | 京都府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670163
 87 | スポーツ | 発売2026/8/3(あと1日) | 全日本プロレス＜新木場大会＞ | 2026/9/16(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630707
 88 | スポーツ | 発売2026/8/3(あと1日) | 全日本プロレス＜新木場大会＞ | 2026/9/17(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630708
 89 | 映画 | 発売2026/8/3(あと1日) | わたしは、ダニエル・ブレイク | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2627138
 90 | イベント | 発売2026/8/3(あと1日) | 瀬戸利樹 写真集 『３０／３０～いま～』発売記念イベント | 2026/9/13(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630003
 91 | クラシック | 発売2026/8/3(あと1日) | The Symphony Hall Big Band | 2026/8/5(水) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669971
 92 | クラシック | 発売2026/8/3(あと1日) | 日本モーツァルト協会 第６８３回例会 巨匠ダルベルトのエスプリ | 2026/11/25(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630039
 93 | 音楽 | 発売TODAY(あと0日) | 雨宮天 | 2026/8/2(日) |  | https://ticket.pia.jp/pia/event.do?eventCd=2617627
 94 | 音楽 | 発売TODAY(あと0日) | 秘めごと | 2026/8/2(日) |  | https://ticket.pia.jp/pia/event.do?eventCd=2623081
 95 | イベント | 発売TODAY(あと0日) | 記憶汚染展 | 2026/8/2(日) ～ 2026/8/16(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668319
