131. ＤＥＮＩＭＳ | 発売2026/6/27 | 公演2026/9/27(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2621056
132. ＤＵＫＥ×ＧＲＥＥＮＳ ｐｒｅｓｅｎｔｓ 『わちゃごな２』 | 発売TODAY | 公演2026/8/7(金) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623129
133. デラックス×デラックス | 発売2026/6/13 | 公演2026/7/26(日) ・ 2026/9/19(土) | 茨城県／長野県 | https://ticket.pia.jp/pia/event.do?eventCd=2622214
134. デラックス×デラックス | 発売2026/6/20 | 公演2026/11/23(月・祝) | 滋賀県 | https://ticket.pia.jp/pia/event.do?eventCd=2621907
135. デラックス×デラックス | 発売2026/7/11 | 公演2026/9/12(土) ・ 2026/9/13(日) | 鳥取県／岡山県 | https://ticket.pia.jp/pia/event.do?eventCd=2620047
136. ２ＹＯＵ ＭＡＧＡＺＩＮＥ ＆ ＲＡＤ ＳＥＶＥＮ ｐｒｅｓｅｎ | 発売2026/7/4 | 公演2026/8/13(木) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2608867
137. ＴＯＫＡＩ ＲＯＣＫ ＦＥＳ．２０２６ ライブ | 発売2026/7/4 | 公演2026/8/29(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2604970
138. 東儀秀樹 | 発売2026/6/20 | 公演2026/10/11(日) ～ 2027/5/23(日) | 宮城県／東京都／石川県／愛知県／京都府／大阪府／福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2613017
139. 徳永英明 | 発売? | 公演2026/9/12(土) ・ 2026/11/21(土) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2618994
140. ＴＯＭＯＶＳＫＹ トモフ出航６０周年記念ツアー 『３度目のハタチ | 発売2026/6/28 | 公演2026/9/5(土) | 長野県 | https://ticket.pia.jp/pia/event.do?eventCd=2615984
141. TOMORA | 発売2026/7/4 | 公演2026/10/1(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669024
