
======================================================================
■ 2026-09-05(土) 発売開始 … 285枠 / 22ジャンル
======================================================================

【J-POP】145件
  10:00 中嶋ユキノ／北海道  #2336
  10:00 水上クリニック／シンギュラリティ／HUMAN ERROR／MeltyCΛlt／愛知県  #6002
  10:00 矢野顕子／青森（先行）  #4103
  10:00 矢野顕子／宮城（先行）  #4103
  10:00 稲垣潤一・八神純子 ～歌は時を越えて～／沖縄  #5160
  10:00 角松敏生／新潟  #1164
  10:00 透明少女／大阪府  #5990
  12:00 SHELTER 35th Anniversary “ZeppがSHELTER／東京  #6079
  12:00 大熊和奏／東京  #6073
  12:00 小柳ゆき／東京都  #6039
  12:00 小柳ゆき／大阪府  #6039
  12:00 小柳ゆき／神奈川県  #6039

【クラシック】23件
  10:00 N響「第9」／東京  #6901
  10:00 N響「第9」 チャリティーコンサート／東京  #4843
  10:00 ウィリアム・ヤン ピアノ・リサイタル／東京  #5740
  10:00 オルガン名曲決定版2027／大阪  #5681
  10:00 コンドルズ30周年記念 超特別大感謝公演 兵庫スペシャル／兵庫  #4193
  10:00 ザ・シンフォニーホール ジルベスターコンサート2026／大阪  #5682
  10:00 ザ・シンフォニーホール ニューイヤーコンサート2027／大阪  #5683
  10:00 ジルヴェスター・ガラ・コンサート2026／兵庫  #4217
  10:00 トリフォニーホール パイプオルガン・クリスマス・コンサート2026／東京  #6354
  10:00 中村恵理（ソプラノ） お菓子と娘 バレンタイン・コンサート／兵庫  #4218
  10:00 兵庫芸術文化センター管弦楽団 第174回定期演奏会 カーチュン・ウォン マー／兵庫  #4220
  10:00 兵庫芸術文化センター管弦楽団 第175回定期演奏会 佐渡 裕 英雄の生涯／兵庫  #4219
  10:00 創立100年記念 N響ニューイヤーコンサート／東京  #5223
  10:00 天野薫（p）／大阪  #3621
  10:00 新国立劇場ダンス 新国立劇場バレエ団 「DANCE to the Futur／東京（先行）  #4194
  10:00 新日本フィル ニューイヤー・コンサート2027 in すみだ曳舟 《落語&オ／東京  #6349
  10:00 東京カテドラルで聴く クリスマス・コンサート 2026／東京  #3994
  10:00 東京フィルハーモニー交響楽団 ベートーヴェン「第九」特別演奏会／東京（先行）  #4293
  10:00 第41回名曲コンサート／福岡  #3995
  22:00 五十嵐紅トリオ|New Year 2027（みなとみらい公演）／神奈川  #6446
  22:00 五十嵐紅トリオ|New Year 2027（東京公演）／東京  #6445
  22:00 名曲コンサート「バッハ増し!」フルート編（下払桐子・平尾有衣）／東京  #6465
  22:00 名曲コンサート「バッハ増し!」ヴァイオリン編（倉冨亮太・鶴澤奏）／神奈川  #6466

【お笑い】11件
  10:00 「かが屋の亀の間 賀屋先生の漫画お渡しイベント」（仮題）／東京  #1125
  10:00 すみだ落語会関連企画 すみだ落語会後夜祭「若手演芸&大喜利大会」／東京  #6309
  10:00 すみだ落語会関連企画 落語レクチャー「今さら聞けない!大人のための落語入門」／東京  #6310
  10:00 よしもとお笑いライブinひたちおおみや2026～「茨城県民の日」に人気芸人大／茨城  #6320
  10:00 古今亭文菊のバレンタイン独演会 テーマ「愛」／東京  #6603
  10:00 古今亭菊志ん落語会守破離／東京  #6107
  10:00 柳家しろ八 二ツ目昇進披露公演／愛知  #3993
  10:00 隅田川馬石 バレンタインのコツコツ的毎月連続落語会 テーマ「愛」／東京  #6605
  10:00 隅田川馬石 新春のコツコツ的毎月連続落語会『鰍沢』（音曲入り）他／東京  #6604
  12:00 東京ポッド許可局 2026 秋の祭典 板橋大山大会／東京  #2998
  12:00 東京ポッド許可局 2026 秋の祭典 板橋大山大会／全国  #2998

【演劇】6件
  10:00 notebook／大阪  #5739
  10:00 『ノッキンオン・ロックドドア THE STAGE』／東京  #3991
  10:00 『ノッキンオン・ロックドドア THE STAGE』／大阪  #3991
  10:00 『聖地X』／東京  #3990
  10:00 声優朗読劇フォアレーゼン ～太陽が、痛いほどいっぱい～／神奈川  #5222
  10:00 梅沢富美男・研ナオコ ～アッ!とおどろく夢芝居 2026～／静岡  #4624

【スポーツ】5件
  10:00 RISE202／東京  #6323
  10:00 ガンバレ☆プロレス／東京  #5645
  10:00 新日本プロレス<神戸大会>／東京  #2557
  10:00 東京女子プロレス／愛知  #2564
  10:00 東京女子プロレス／宮城  #2564

【ミュージカル】5件
  10:00 ミュージカル「拝啓 ナイチンゲール様」／岡山  #6130
  10:00 ミュージカル「拝啓 ナイチンゲール様」／東京  #6130
