=== e+ 発売前スイープのまとめ（2026-09-21）===
  anime-song            3件
  classic               0件
  enka                  7件
  hiphop-rap            2件
  idol                 11件
  jazz-fusion          10件
  k-pop-asian           0件
  rock-indies          52件
  visual              161件

ユニーク（登録済みを外した）= 237件

  4596430001 | 2027/1/12(火) | visual               | 先着 DazzlingBAD DazzlingBAD ONEMANTOUR 「SIXTH S
  4598040001 | 2027/1/13(水) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027「DRAWING PRIMA
  4581820001 | 2027/1/15(金) | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  4590440001 | 2027/1/16(土) | jazz-fusion          | 先着 ONE COIN JAZZ PIANO CONCERT ”WINTER”
  3370760001 | 2027/1/17(日) | jazz-fusion          | 先着 渡辺貞夫カルテット 2027
  4596960001 | 2027/1/19(火) | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  0950200001 | 2027/1/20(水) | enka                 | 先着 福田こうへい
  4597860001 | 2027/1/20(水) | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  4592380001 | 2027/1/22(金) | visual               | 先着 Redo presents 3MAN LIVE「The Answer」
  4592400001 | 2027/1/23(土) | visual               | 先着 Redo presents 3MAN LIVE「The Answer」
  4598380001 | 2027/1/23(土) | visual               | 先着 HELLBROTH Oneman Tour 『Snowdrop dormancy -H
  4597070001 | 2027/1/24(日) | jazz-fusion          | 先着 国府弘子アコースティックトリオwith小野リサ
  4598630001 | 2027/1/24(日) | visual               | 先着 「俺たちがHEROです。」
  4598060001 | 2027/1/24(日) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027 FINAL&1st Ann
  4597080001 | 2027/1/25(月) | visual               | 先着 DazzlingBAD ONEMANTOUR「SIXTH SENSE」
  4596550001 | 2027/1/26(火) | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  4593930001 | 2027/1/27(水) | visual               | 先着 カリソメ1周年記念主催公演「仮初の正解」
  4590070001 | 2027/1/29(金) | visual               | 先着 東名阪単独救難行脚「流転」
  4600130001 | 2027/1/29(金) | visual               | 先着 東名阪単独救難行脚「流転」-布教チケット-
  4527270001 | 2027/1/31(日) | jazz-fusion          | 先着 石若駿トリオ ホールツアー 2026+27 featuring 高橋佑成&Marty 
  4581920001 | 2027/1/31(日) | visual               | 抽選 DAMNED ONEMAN TOUR2026～2027『Cure』
  4598780001 | 2027/1/8(金)  | visual               | 先着 DAMNED DAMNED ONEMAN TOUR 2026～2027 『Cure』
  4597880001 | 2027/1/9(土)  | visual               | 先着 「俺たちがHEROです。」
